Resultats per municipi - 2017

;;;;;;;;;;;;;;;;Ciutadans-Partido de la Ciudadanía (C's);;Junts per Catalunya (JUNTSxCAT);;Esquerra Republicana-Catalunya Sí (ERC-CatSí);;Partit dels Socialistes de Catalunya (PSC-PSOE) (PSC);;Catalunya en Comú-Podem (CatComú-Podem);;Candidatura d'Unitat Popular (CUP);;Partit Popular / Partido Popular (PP);;Partit Animalista contra el Maltractament Animal (PACMA);;Recortes Cero-Grupo Verde (RECORTES CERO-GRUPO VERDE);;Per un Món Més Just (PU M+J);;Diàleg Republicà (Candidatura retirada) (DIÀLEG (C. RETIRADA));;
Codi circumscripció;Codi municipi;Nom municipi;Cens electoral;Votants;% votants;Abstenció;% abstenció;Vots nuls;% vots nuls;Vots en blanc;% vots en blanc; Vots a candidatures;% vots a candidatures;Vots vàlids;% vots vàlids;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Codi comarca;Nom comarca;
08;001;Abrera                                            ;     8.965;     7.647;085,30;     1.318;014,70;        26;000,34;        38;000,50;     7.583;099,16;     7.621;099,66;     2.559;033,58;       634;008,32;     1.411;018,51;     1.487;019,51;       815;010,69;       198;002,60;       321;004,21;       129;001,69;        29;000,38;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;002;Aguilar de Segarra                                ;       215;       189;087,91;        26;012,09;         4;002,12;         0;000,00;       185;097,88;       185;097,88;        12;006,49;        85;045,95;        37;020,00;         9;004,86;         1;000,54;        38;020,54;         3;001,62;         0;000,00;         0;000,00;         0;000,00;         0;000,00;07;Bages                                   ;
08;003;Alella                                            ;     7.142;     6.063;084,89;     1.079;015,11;        19;000,31;        29;000,48;     6.015;099,21;     6.044;099,69;     1.247;020,63;     1.860;030,77;     1.466;024,26;       609;010,08;       331;005,48;       235;003,89;       211;003,49;        44;000,73;        12;000,20;         0;000,00;         0;000,00;21;Maresme                                 ;
08;004;Alpens                                            ;       212;       195;091,98;        17;008,02;         0;000,00;         2;001,03;       193;098,97;       195;100,00;         0;000,00;       122;062,56;        40;020,51;         8;004,10;         6;003,08;        17;008,72;         0;000,00;         0;000,00;         0;000,00;         0;000,00;         0;000,00;24;Osona                                   ;
08;005;Ametlla del Vallès, l'                            ;     6.317;     5.402;085,52;       915;014,48;         8;000,15;        19;000,35;     5.375;099,50;     5.394;099,85;     1.023;018,97;     1.966;036,45;     1.296;024,03;       450;008,34;       261;004,84;       202;003,74;       125;002,32;        38;000,70;        14;000,26;         0;000,00;         0;000,00;41;Vallès Oriental                         ;
08;006;Arenys de Mar                                     ;    11.669;     9.464;081,10;     2.205;018,90;        33;000,35;        33;000,35;     9.398;099,30;     9.431;099,65;     1.693;017,95;     3.068;032,53;     2.439;025,86;       872;009,25;       447;004,74;       489;005,19;       318;003,37;        53;000,56;        19;000,20;         0;000,00;         0;000,00;21;Maresme                                 ;
08;007;Arenys de Munt                                    ;     6.624;     5.616;084,78;     1.008;015,22;        11;000,20;        18;000,32;     5.587;099,48;     5.605;099,80;       801;014,29;     2.107;037,59;     1.595;028,46;       346;006,17;       265;004,73;       323;005,76;       104;001,86;        39;000,70;         7;000,12;         0;000,00;         0;000,00;21;Maresme                                 ;
08;008;Argençola                                         ;       190;       158;083,16;        32;016,84;         0;000,00;         0;000,00;       158;100,00;       158;100,00;        12;007,59;        71;044,94;        47;029,75;         3;001,90;         3;001,90;        17;010,76;         3;001,90;         2;001,27;         0;000,00;         0;000,00;         0;000,00;06;Anoia                                   ;
08;009;Argentona                                         ;     9.291;     8.049;086,63;     1.242;013,37;        22;000,27;        35;000,43;     7.992;099,29;     8.027;099,73;     1.737;021,64;     2.349;029,26;     1.838;022,90;       791;009,85;       431;005,37;       491;006,12;       284;003,54;        60;000,75;        11;000,14;         0;000,00;         0;000,00;21;Maresme                                 ;
08;010;Artés                                             ;     4.218;     3.616;085,73;       602;014,27;        18;000,50;        18;000,50;     3.580;099,00;     3.598;099,50;       584;016,23;     1.197;033,27;     1.023;028,43;       265;007,37;       133;003,70;       261;007,25;        88;002,45;        26;000,72;         3;000,08;         0;000,00;         0;000,00;07;Bages                                   ;
